year,team,probowler_count
2006,crd,2
2007,crd,2
2008,crd,5
2009,crd,5
2010,crd,3
2011,crd,3
2012,crd,3
2013,crd,4
2014,crd,4
2015,crd,7
2016,crd,3
2017,crd,4
2018,crd,1
2019,crd,2
2006,atl,2
2007,atl,0
2008,atl,2
2009,atl,1
2010,atl,9
2011,atl,2
2012,atl,5
2013,atl,1
2014,atl,3
2015,atl,4
2016,atl,6
2017,atl,4
2018,atl,4
2019,atl,3
2006,rav,7
2007,rav,4
2008,rav,5
2009,rav,5
2010,rav,5
2011,rav,8
2012,rav,6
2013,rav,4
2014,rav,4
2015,rav,4
2016,rav,7
2017,rav,3
2018,rav,4
2019,rav,12
2006,buf,2
2007,buf,2
2008,buf,2
2009,buf,1
2010,buf,1
2011,buf,0
2012,buf,3
2013,buf,4
2014,buf,3
2015,buf,4
2016,buf,6
2017,buf,3
2018,buf,1
2019,buf,3
2006,car,3
2007,car,0
2008,car,4
2009,car,4
2010,car,3
2011,car,3
2012,car,0
2013,car,7
2014,car,2
2015,car,10
2016,car,5
2017,car,4
2018,car,3
2019,car,3
2006,chi,8
2007,chi,4
2008,chi,1
2009,chi,2
2010,chi,4
2011,chi,6
2012,chi,5
2013,chi,5
2014,chi,2
2015,chi,1
2016,chi,2
2017,chi,0
2018,chi,8
2019,chi,4
2006,cin,3
2007,cin,2
2008,cin,0
2009,cin,1
2010,cin,0
2011,cin,4
2012,cin,4
2013,cin,2
2014,cin,4
2015,cin,8
2016,cin,5
2017,cin,3
2018,cin,1
2019,cin,1
2006,cle,0
2007,cle,6
2008,cle,3
2009,cle,2
2010,cle,2
2011,cle,1
2012,cle,3
2013,cle,6
2014,cle,4
2015,cle,3
2016,cle,1
2017,cle,1
2018,cle,4
2019,cle,3
2006,dal,7
2007,dal,13
2008,dal,6
2009,dal,9
2010,dal,6
2011,dal,2
2012,dal,3
2013,dal,5
2014,dal,8
2015,dal,5
2016,dal,7
2017,dal,5
2018,dal,7
2019,dal,6
2006,den,3
2007,den,2
2008,den,3
2009,den,5
2010,den,2
2011,den,6
2012,den,7
2013,den,5
2014,den,11
2015,den,4
2016,den,6
2017,den,2
2018,den,4
2019,den,2
2006,det,1
2007,det,0
2008,det,0
2009,det,0
2010,det,2
2011,det,1
2012,det,3
2013,det,2
2014,det,5
2015,det,2
2016,det,1
2017,det,2
2018,det,2
2019,det,2
2006,gnb,2
2007,gnb,5
2008,gnb,3
2009,gnb,4
2010,gnb,6
2011,gnb,7
2012,gnb,4
2013,gnb,1
2014,gnb,7
2015,gnb,5
2016,gnb,4
2017,gnb,2
2018,gnb,2
2019,gnb,5
2006,htx,1
2007,htx,1
2008,htx,3
2009,htx,5
2010,htx,3
2011,htx,4
2012,htx,9
2013,htx,3
2014,htx,3
2015,htx,3
2016,htx,1
2017,htx,2
2018,htx,6
2019,htx,3
2006,clt,5
2007,clt,6
2008,clt,4
2009,clt,7
2010,clt,5
2011,clt,1
2012,clt,3
2013,clt,3
2014,clt,7
2015,clt,3
2016,clt,2
2017,clt,2
2018,clt,3
2019,clt,4
2006,jax,2
2007,jax,1
2008,jax,0
2009,jax,2
2010,jax,3
2011,jax,2
2012,jax,0
2013,jax,1
2014,jax,0
2015,jax,1
2016,jax,0
2017,jax,6
2018,jax,2
2019,jax,3
2006,kan,4
2007,kan,2
2008,kan,2
2009,kan,0
2010,kan,5
2011,kan,2
2012,kan,6
2013,kan,10
2014,kan,4
2015,kan,6
2016,kan,7
2017,kan,4
2018,kan,6
2019,kan,6
2006,sdg,11
2007,sdg,9
2008,sdg,2
2009,sdg,6
2010,sdg,4
2011,sdg,5
2012,sdg,0
2013,sdg,2
2014,sdg,2
2015,sdg,1
2016,sdg,3
2017,sdg,6
2018,sdg,7
2019,sdg,3
2006,ram,3
2007,ram,1
2008,ram,0
2009,ram,1
2010,ram,1
2011,ram,0
2012,ram,0
2013,ram,2
2014,ram,2
2015,ram,3
2016,ram,3
2017,ram,8
2018,ram,4
2019,ram,1
2006,mia,2
2007,mia,1
2008,mia,3
2009,mia,3
2010,mia,4
2011,mia,3
2012,mia,4
2013,mia,4
2014,mia,3
2015,mia,5
2016,mia,4
2017,mia,2
2018,mia,1
2019,mia,0
2006,min,4
2007,min,7
2008,min,6
2009,min,10
2010,min,4
2011,min,2
2012,min,7
2013,min,2
2014,min,0
2015,min,5
2016,min,6
2017,min,7
2018,min,4
2019,min,8
2006,nwe,2
2007,nwe,8
2008,nwe,2
2009,nwe,5
2010,nwe,8
2011,nwe,8
2012,nwe,7
2013,nwe,5
2014,nwe,5
2015,nwe,7
2016,nwe,4
2017,nwe,4
2018,nwe,2
2019,nwe,3
2006,nor,3
2007,nor,0
2008,nor,2
2009,nor,7
2010,nor,5
2011,nor,5
2012,nor,4
2013,nor,5
2014,nor,4
2015,nor,1
2016,nor,1
2017,nor,7
2018,nor,8
2019,nor,11
2006,nyg,3
2007,nyg,1
2008,nyg,7
2009,nyg,4
2010,nyg,5
2011,nyg,2
2012,nyg,4
2013,nyg,1
2014,nyg,1
2015,nyg,4
2016,nyg,4
2017,nyg,1
2018,nyg,5
2019,nyg,0
2006,nyj,1
2007,nyj,0
2008,nyj,7
2009,nyj,5
2010,nyj,3
2011,nyj,4
2012,nyj,2
2013,nyj,2
2014,nyj,2
2015,nyj,5
2016,nyj,1
2017,nyj,0
2018,nyj,3
2019,nyj,1
2006,rai,1
2007,rai,1
2008,rai,2
2009,rai,3
2010,rai,4
2011,rai,4
2012,rai,1
2013,rai,1
2014,rai,1
2015,rai,5
2016,rai,7
2017,rai,5
2018,rai,1
2019,rai,2
2006,phi,3
2007,phi,3
2008,phi,2
2009,phi,9
2010,phi,5
2011,phi,3
2012,phi,0
2013,phi,5
2014,phi,8
2015,phi,4
2016,phi,4
2017,phi,6
2018,phi,5
2019,phi,6
2006,pit,4
2007,pit,6
2008,pit,3
2009,pit,4
2010,pit,4
2011,pit,7
2012,pit,2
2013,pit,2
2014,pit,5
2015,pit,3
2016,pit,6
2017,pit,10
2018,pit,8
2019,pit,5
2006,sfo,3
2007,sfo,2
2008,sfo,1
2009,sfo,5
2010,sfo,2
2011,sfo,9
2012,sfo,9
2013,sfo,9
2014,sfo,3
2015,sfo,2
2016,sfo,0
2017,sfo,2
2018,sfo,3
2019,sfo,4
2006,sea,4
2007,sea,6
2008,sea,2
2009,sea,0
2010,sea,0
2011,sea,5
2012,sea,6
2013,sea,6
2014,sea,5
2015,sea,7
2016,sea,7
2017,sea,6
2018,sea,3
2019,sea,3
2006,tam,3
2007,tam,1
2008,tam,4
2009,tam,0
2010,tam,1
2011,tam,1
2012,tam,3
2013,tam,2
2014,tam,1
2015,tam,5
2016,tam,2
2017,tam,2
2018,tam,1
2019,tam,3
2006,oti,1
2007,oti,3
2008,oti,8
2009,oti,4
2010,oti,4
2011,oti,0
2012,oti,0
2013,oti,1
2014,oti,0
2015,oti,2
2016,oti,5
2017,oti,6
2018,oti,3
2019,oti,4
2006,was,2
2007,was,4
2008,was,4
2009,was,2
2010,was,3
2011,was,1
2012,was,5
2013,was,3
2014,was,2
2015,was,1
2016,was,5
2017,was,3
2018,was,2
2019,was,2
