,year,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance
year,1.0,0.08487449863663528,-0.013117226872925106,0.004211841113795063,0.005230701875382045,-0.01818776062323635,0.05214096539664293,-0.08449577354692249,-0.008584437779445108,-0.06277461778319156,-0.01921835143067762
probowler_count,0.08487449863663528,1.0,0.6811225884587251,-0.5666362855715206,0.49450883306568866,0.17229772457850326,0.06694942420373877,0.1920883685734779,-0.019510082248152854,0.24088526533338506,0.21905328799719753
win%,-0.013117226872925106,0.6811225884587251,1.0,-0.8439516435064934,0.7017233293875265,0.1381264209863797,-0.014948513557106252,0.2600819171172877,0.03379710345818161,0.3283023570561874,0.2064054494082062
division,0.004211841113795063,-0.5666362855715206,-0.8439516435064934,1.0,-0.697103807203711,-0.1519049358709846,-0.0009252167627207127,-0.2586746273348236,-0.03990363609524433,-0.3134796572173176,-0.20939493417579255
playoffs,0.005230701875382045,0.49450883306568866,0.7017233293875265,-0.697103807203711,1.0,0.12133703203116428,0.005743897050448866,0.20046875427535277,0.019426542354471242,0.2388037023375292,0.14370856274737984
attendance,-0.01818776062323635,0.17229772457850326,0.1381264209863797,-0.1519049358709846,0.12133703203116428,1.0,0.794330027928894,0.43381843984579704,-0.1835977052928147,0.29421289144858,0.9019831606994766
capacity,0.05214096539664293,0.06694942420373877,-0.014948513557106252,-0.0009252167627207127,0.005743897050448866,0.794330027928894,1.0,-0.1927991858497767,-0.020206947546647425,-0.12814628663967828,0.7586734239228979
attend%,-0.08449577354692249,0.1920883685734779,0.2600819171172877,-0.2586746273348236,0.20046875427535277,0.43381843984579704,-0.1927991858497767,1.0,-0.25395898692929525,0.6793380364842643,0.32394606450813385
climate,-0.008584437779445108,-0.019510082248152854,0.03379710345818161,-0.03990363609524433,0.019426542354471242,-0.1835977052928147,-0.020206947546647425,-0.25395898692929525,1.0,-0.26817718473266006,-0.1831171419100541
year 1 attend%,-0.06277461778319156,0.24088526533338506,0.3283023570561874,-0.3134796572173176,0.2388037023375292,0.29421289144858,-0.12814628663967828,0.6793380364842643,-0.26817718473266006,1.0,0.44259371809082637
year 1 attendance,-0.01921835143067762,0.21905328799719753,0.2064054494082062,-0.20939493417579255,0.14370856274737984,0.9019831606994766,0.7586734239228979,0.32394606450813385,-0.1831171419100541,0.44259371809082637,1.0
